ホテル名,価格,評価,高評価項目
越後湯沢温泉　湯沢グランドホテル,"16,500",4.5,接客、風呂、朝食
ハツカ石温泉　石打ユングパルナス,"19,000",4.5,風呂、夕食、接客
丸山温泉　古城館,"19,800",4.7,夕食、風呂、接客
赤倉観光ホテル,"63,000",4.8,清潔感、風呂、夕食
ＮＡＳＰＡニューオータニ,"11,340",4.4,清潔感、部屋、風呂
越後湯沢湯元　卵の湯　雪国の宿　高半,"29,600",4.6,夕食、接客、風呂
ロッテアライリゾート,"10,010",4.2,清潔感、部屋、風呂
湯けむりの宿　雪の花（共立リゾート）,"30,250",4.4,清潔感、夕食、部屋
水が織りなす越後の宿　ホテル双葉,"28,600",4.3,風呂、夕食、接客
エンゼルグランディア越後中里,"8,000",4.3,朝食、風呂、夕食
舞子温泉 飯士の湯 舞子高原ホテル,"33,440",4.5,夕食、清潔感、朝食
越後湯沢温泉 一望千里 御湯宿 中屋,"20,020",4.3,風呂、夕食、接客
ＣＯＭＥＤＯＲ　ＡＯ．(コメドオル アオ),"33,000",4.9,夕食、朝食、接客
越後湯沢温泉　湯沢ニューオータニ,"22,000",4.5,接客、朝食、清潔感
新潟・越後大湯温泉　源泉湯の宿　かいり,"27,720",4.4,清潔感、風呂、夕食
和みのお宿　滝乃湯,"31,000",4.4,接客、朝食、夕食
むいか温泉ホテル,"20,800",4.4,夕食、朝食、部屋
湯沢パークホテル,"19,600",4.6,接客、清潔感、風呂
越後湯沢温泉　露天大岩風呂の宿　湯沢東映ホテル,"17,600",4.2,風呂、夕食、接客
ロイヤル胎内パークホテル,"17,600",4.5,風呂、接客、清潔感
越後湯沢温泉　さくら亭,"15,400",4.5,夕食、部屋、接客
囲炉裏の宿　ビィーケン,"14,000",4.9,夕食、朝食、接客
苗場プリンスホテル,"13,126",3.7,朝食、夕食
ホテル湯元【伊東園ホテルズ】,"11,396",3.8,風呂、夕食
越後湯澤　ＨＡＴＡＧＯ　井仙,"33,300",4.5,夕食、朝食、清潔感
ニュー・グリーンピア　津南,"28,400",4.1,夕食、風呂、朝食
うぐいすの初音,"50,600",4.6,清潔感、部屋、朝食
六日町温泉 心と体の保養の宿 龍氣（りゅうき）,"17,600",4.3,風呂、夕食、部屋
越後湯沢温泉　ガーデンタワーホテル,"23,600",4.3,部屋、清潔感、朝食
休暇村　妙高,"17,000",4.0,朝食、夕食、部屋
浦子の湯 高野屋 -takanoya-,"13,000円〜",4.5,風呂、夕食、朝食
民宿　小西屋,"12,000円〜",5.0,朝食、夕食、接客
音羽屋旅館,"15,400円〜",4.3,風呂、夕食、朝食
越後のお宿　いなもと,"19,480円〜",4.0,風呂、夕食、朝食
スポーツプラザ白樺,"6,556円〜",4.8,接客、部屋、清潔感
ホテルアルペンブリック,"19,700円〜",4.0,朝食、風呂、夕食
さえもん旅館【佐右エ門旅館】,"7,800円〜",4.7,朝食、夕食、接客
六日町温泉 山の湯宿 いろりあん,"25,300円〜",4.1,夕食、朝食、接客
上越国際の宿　ロッヂ　ＹＯＵ,"10,000円〜",4.7,清潔感、朝食、部屋
ＫＫＲ湯沢ゆきぐに（国家公務員共済組合連合会湯沢保養所）,"25,900円〜",4.3,清潔感、風呂、部屋
赤倉温泉　お宿　ふるや,"22,000円〜",4.2,風呂、接客、朝食
岩原じょんのび温泉ホテル,"26,400円〜",,
赤倉ホテル,"18,700円〜",3.9,風呂
雪の雫,"36,000円〜",,
ホテルタケダ,"12,100円〜",4.4,風呂、夕食、清潔感
ホテル　アルファスター岩原,"35,640円〜",,
高原ホテル対山,"21,800円〜",4.0,接客、清潔感
みつまたロッヂ,"23,760円〜",,
シェラリゾート湯沢,"33,200円〜",,
月岡温泉　湯宿あかまつ,"16,060円〜",4.3,風呂、部屋、接客
赤倉温泉　ホテル太閤,"33,600円〜",,
妙高高原のペンション空飛ブウサギ,"15,000円〜",,
湯沢　玉城屋,"15,400円〜",,
ロッヂハヤシ,"12,000円〜",4.4,朝食、清潔感
赤倉温泉　ホテル金甚,"19,800円〜",,
赤倉温泉　ゆの宿望月（旧赤倉パークホテル）,"15,400円〜",3.8,夕食、朝食
HOTELシャーレゆざわ銀水,"22,000円〜",4.0,接客
石打ペンション　ブルージュ,"14,000円〜",4.2,接客
えびすや旅館,"14,000円〜",,
石打丸山　ペンション　オズ,"12,600円〜",,
苗場のおしゃれなリゾートホテルthe Kinta Naeba,"16,800",,
ホテルプレステージ,"16,000",,
石打スキーセンター,"17,770",,
石打丸山スキー場　スキー・スノボとペットの宿　アルミュール,"13,000",3.8,接客、清潔感
ロッヂ丘,"9,000",,
民宿 ゆきぐに,"10,600",,
石打ワンダースリー,"18,000",,
エスプリホテル,"22,000",,
Ｋ・Ｌｏｄｇｅ,"22,000",,
かぐらみつまたコテージ,"13,600",,
岩原高原ハウス,"16,170",,
ロッヂYAMANOYU（山乃湯）,"15,840",,
Ｗｈｉｔｅ　Ｓｎｏｗ　岩原,"19,600",,
かぐらホワイトホースインKagura White Horse Inn,"12,960",,
やまいち荘,"12,400",,
クリスタルイン苗場,"10,600",,
ペンションあぷりこっと,"17,600",,
赤倉温泉　旅館　清水屋,"11,000",3.9,風呂
ペンション　わん,"7,000",,
ファンタジェン　イズミヤ,"25,000",,
苗場　ラ・ネージュ,"15,400",,
温泉民宿　ゆたかや,"12,800",,
加賀屋旅館,"55,000",,
ホテルグリーンプラザ上越,"24,000",3.0,
